case_id,relative_path,family,representation,size_bytes,sha256,xml_file_count,full_model_count,profiles_json,parse_status,is_boundary,is_error_fixture,duplicate_of,boundary_relative_path,included,exclusion_reason
dev_microgrid_basecase_bc_cgmes_v2_4_15_microgridtestconfiguration_bc_assembled_ca_v2_a5a4dcec,MicroGrid/BaseCase_BC/CGMES_v2.4.15_MicroGridTestConfiguration_BC_Assembled_CA_v2.zip,MicroGrid,assembled_or_unspecified,84470,a5a4dcec9de59321a54a24b8cfe7a678367e2a2cb83a511504b287290e3939d5,14,14,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/Dynamics/3/1"", ""http://entsoe.eu/CIM/EquipmentBoundary/3/1"", ""http://entsoe.eu/CIM/EquipmentBoundaryOperation/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentShortCircuit/3/1"", ""http://entsoe.eu/CIM/GeographicalLocation/2/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1"", ""http://entsoe.eu/CIM/TopologyBoundary/3/1""]",success,False,False,,MicroGrid/BaseCase_BC/CGMES_v2.4.15_MicroGridTestConfiguration_BD_v2.zip,True,
dev_microgrid_basecase_bc_cgmes_v2_4_15_microgridtestconfiguration_bc_assembled_v2_859e1b6a,MicroGrid/BaseCase_BC/CGMES_v2.4.15_MicroGridTestConfiguration_BC_Assembled_v2.zip,MicroGrid,assembled_or_unspecified,84285,859e1b6af3d3fd7db4cf1e031c6f2675994367b3101d97fdb7448596e5c749f6,14,14,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/Dynamics/3/1"", ""http://entsoe.eu/CIM/EquipmentBoundary/3/1"", ""http://entsoe.eu/CIM/EquipmentBoundaryOperation/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentShortCircuit/3/1"", ""http://entsoe.eu/CIM/GeographicalLocation/2/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1"", ""http://entsoe.eu/CIM/TopologyBoundary/3/1""]",success,False,False,,MicroGrid/BaseCase_BC/CGMES_v2.4.15_MicroGridTestConfiguration_BD_v2.zip,True,
dev_microgrid_basecase_bc_cgmes_v2_4_15_microgridtestconfiguration_bc_be_v2_81f6c0d8,MicroGrid/BaseCase_BC/CGMES_v2.4.15_MicroGridTestConfiguration_BC_BE_v2.zip,MicroGrid,assembled_or_unspecified,43617,81f6c0d8f3b0a72939515ad28230c63f8a8640c188f79f0b4091c5aba7e60381,7,7,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/Dynamics/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentShortCircuit/3/1"", ""http://entsoe.eu/CIM/GeographicalLocation/2/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,MicroGrid/BaseCase_BC/CGMES_v2.4.15_MicroGridTestConfiguration_BD_v2.zip,True,
dev_microgrid_basecase_bc_cgmes_v2_4_15_microgridtestconfiguration_bc_nl_v2_94ff64ff,MicroGrid/BaseCase_BC/CGMES_v2.4.15_MicroGridTestConfiguration_BC_NL_v2.zip,MicroGrid,assembled_or_unspecified,38012,94ff64fffed62907cce9592eb85a6ef68eac738692319b4bb276ec17c7c4c749,7,7,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/Dynamics/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentShortCircuit/3/1"", ""http://entsoe.eu/CIM/GeographicalLocation/2/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,MicroGrid/BaseCase_BC/CGMES_v2.4.15_MicroGridTestConfiguration_BD_v2.zip,True,
dev_microgrid_basecase_bc_cgmes_v2_4_15_microgridtestconfiguration_bd_v2_81d13c75,MicroGrid/BaseCase_BC/CGMES_v2.4.15_MicroGridTestConfiguration_BD_v2.zip,MicroGrid,assembled_or_unspecified,4699,81d13c752fefc35dc908fb136d3eb2d26a7324473f3cac2e100f808399e80caa,2,2,"[""http://entsoe.eu/CIM/EquipmentBoundary/3/1"", ""http://entsoe.eu/CIM/EquipmentBoundaryOperation/3/1"", ""http://entsoe.eu/CIM/TopologyBoundary/3/1""]",success,True,False,,,False,boundary_reference_only
dev_microgrid_type1_t1_cgmes_v2_4_15_microgridtestconfiguration_bd_v2_ad044934,MicroGrid/Type1_T1/CGMES_v2.4.15_MicroGridTestConfiguration_BD_v2.zip,MicroGrid,assembled_or_unspecified,4699,ad044934e962e1842f769f0c9253ca1ab55e37e024665ed4828603249b6378d1,2,2,"[""http://entsoe.eu/CIM/EquipmentBoundary/3/1"", ""http://entsoe.eu/CIM/EquipmentBoundaryOperation/3/1"", ""http://entsoe.eu/CIM/TopologyBoundary/3/1""]",success,True,False,,,False,boundary_reference_only
dev_microgrid_type1_t1_cgmes_v2_4_15_microgridtestconfiguration_t1_assembled_complete_v2_13424106,MicroGrid/Type1_T1/CGMES_v2.4.15_MicroGridTestConfiguration_T1_Assembled_Complete_v2.zip,MicroGrid,assembled_or_unspecified,117950,13424106c89c1ed0cd6d4856a5002123efdd4f58daa2edb4bcc69dcf650a93a8,14,14,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/Dynamics/3/1"", ""http://entsoe.eu/CIM/EquipmentBoundary/3/1"", ""http://entsoe.eu/CIM/EquipmentBoundaryOperation/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentOperation/3/1"", ""http://entsoe.eu/CIM/EquipmentShortCircuit/3/1"", ""http://entsoe.eu/CIM/GeographicalLocation/2/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1"", ""http://entsoe.eu/CIM/TopologyBoundary/3/1""]",success,False,False,,MicroGrid/Type1_T1/CGMES_v2.4.15_MicroGridTestConfiguration_BD_v2.zip,True,
dev_microgrid_type1_t1_cgmes_v2_4_15_microgridtestconfiguration_t1_be_complete_v2_bcabe400,MicroGrid/Type1_T1/CGMES_v2.4.15_MicroGridTestConfiguration_T1_BE_Complete_v2.zip,MicroGrid,assembled_or_unspecified,62976,bcabe40021721a76874e979826a60db1ee702930ce42c5a5cbebebd065ab75d8,7,7,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/Dynamics/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentOperation/3/1"", ""http://entsoe.eu/CIM/EquipmentShortCircuit/3/1"", ""http://entsoe.eu/CIM/GeographicalLocation/2/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,MicroGrid/Type1_T1/CGMES_v2.4.15_MicroGridTestConfiguration_BD_v2.zip,True,
dev_microgrid_type1_t1_cgmes_v2_4_15_microgridtestconfiguration_t1_nl_complete_v2_9670491d,MicroGrid/Type1_T1/CGMES_v2.4.15_MicroGridTestConfiguration_T1_NL_Complete_v2.zip,MicroGrid,assembled_or_unspecified,51830,9670491d62209bcdfdf22a80af4d5e0e6b6932863949b013b9c82310ea3b8e0c,7,7,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/Dynamics/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentOperation/3/1"", ""http://entsoe.eu/CIM/EquipmentShortCircuit/3/1"", ""http://entsoe.eu/CIM/GeographicalLocation/2/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,MicroGrid/Type1_T1/CGMES_v2.4.15_MicroGridTestConfiguration_BD_v2.zip,True,
dev_microgrid_type2_t2_cgmes_v2_4_15_microgridtestconfiguration_bd_v2_24f5ddc0,MicroGrid/Type2_T2/CGMES_v2.4.15_MicroGridTestConfiguration_BD_v2.zip,MicroGrid,assembled_or_unspecified,4699,24f5ddc04513370e57f2fd57cb5efd934cba611da5f3834ed8c335250a9d4b4b,2,2,"[""http://entsoe.eu/CIM/EquipmentBoundary/3/1"", ""http://entsoe.eu/CIM/EquipmentBoundaryOperation/3/1"", ""http://entsoe.eu/CIM/TopologyBoundary/3/1""]",success,True,False,,,False,boundary_reference_only
