network,scenario_id,network_family,topology_hash,bus_count,line_count,asset_bus,p_each_mw,stress_factor,feature_only_accept,pcc_accept,nominal_max_voltage_delta,nominal_max_loading_delta,correct_contingency_feasible,alias_contingency_feasible,correct_error,alias_error,counterfactual_max_voltage_delta,counterfactual_max_loading_delta,correct_min_voltage,alias_min_voltage,correct_max_loading_percent,alias_max_loading_percent,correct_safe_095_100,alias_safe_095_100,harmful_alias,false_safe_if_merged
case14,case14:duplicate_generator_n1:f0.005,IEEE_pandapower,fddaa2e67f34f3d511862c61196e8e6c6e23f60c283e5cdf6e8ea4890e3a476c,14,15,3,1.295,0.005,True,False,2.8259616868808735e-12,3.1799896049733434e-11,True,True,,,0.017670853697962063,0.03789518165922187,0.9999999999999999,1.01,1.5067492006186514,1.5075683619090712,True,True,True,False
case14,case14:duplicate_generator_n1:f0.01,IEEE_pandapower,fddaa2e67f34f3d511862c61196e8e6c6e23f60c283e5cdf6e8ea4890e3a476c,14,15,3,2.59,0.01,True,False,2.7915447731174936e-12,3.129585479655361e-11,True,True,,,0.01767085369796173,0.039965330449820285,1.0000000000000002,1.01,1.4974445272794863,1.5075683619090712,True,True,True,False
case14,case14:duplicate_generator_n1:f0.02,IEEE_pandapower,fddaa2e67f34f3d511862c61196e8e6c6e23f60c283e5cdf6e8ea4890e3a476c,14,15,3,5.18,0.02,True,False,2.7251534362449092e-12,3.0328184408290326e-11,True,True,,,0.017670853697962174,0.04410669359579014,0.9999999999999998,1.01,1.4788603246807037,1.5075683619090712,True,True,True,False
case14,case14:duplicate_generator_n1:f0.03,IEEE_pandapower,fddaa2e67f34f3d511862c61196e8e6c6e23f60c283e5cdf6e8ea4890e3a476c,14,15,3,7.77,0.03,True,False,2.6620927684462004e-12,2.941202836836965e-11,True,True,,,0.017670853697961952,0.05654719051952939,1.0,1.01,1.4603096761658556,1.5075683619090712,True,True,True,False
case14,case14:duplicate_generator_n1:f0.05,IEEE_pandapower,fddaa2e67f34f3d511862c61196e8e6c6e23f60c283e5cdf6e8ea4890e3a476c,14,15,3,12.950000000000001,0.05,True,False,2.546407529280259e-12,2.772004847884091e-11,True,True,,,0.01767085369796151,0.08425914160757486,1.0000000000000004,1.01,1.4233092203014963,1.5075683619090712,True,True,True,False
case14,case14:duplicate_generator_n1:f0.08,IEEE_pandapower,fddaa2e67f34f3d511862c61196e8e6c6e23f60c283e5cdf6e8ea4890e3a476c,14,15,3,20.72,0.08,True,False,2.395861287141088e-12,2.5512036927466397e-11,True,True,,,0.01767085369796173,0.13950679021984524,1.0000000000000002,1.01,1.368061571689226,1.5075683619090712,True,True,True,False
case14,case14:duplicate_generator_n1:f0.1,IEEE_pandapower,fddaa2e67f34f3d511862c61196e8e6c6e23f60c283e5cdf6e8ea4890e3a476c,14,15,3,25.900000000000002,0.1,True,False,2.3088198020104755e-12,2.4222401862061815e-11,True,True,,,0.01767085369796173,0.17616888476753734,1.0000000000000002,1.01,1.3313994771415338,1.5075683619090712,True,True,True,False
case30,case30:duplicate_generator_n1:f0.005,IEEE_pandapower,4a3a92e7f259a5486e58738ebb941c2bca6f05f9540a2a5e33d7d30ff8986e82,30,41,2,1.0,0.005,True,False,0.0,0.0,True,True,,,0.016861710893332438,9.10020847206175,0.9669158036708112,0.9606237083025243,111.63588223164219,111.83140586617537,False,False,True,False
case30,case30:duplicate_generator_n1:f0.01,IEEE_pandapower,4a3a92e7f259a5486e58738ebb941c2bca6f05f9540a2a5e33d7d30ff8986e82,30,41,2,1.892,0.01,True,False,0.0,0.0,True,True,,,0.016861710893332438,9.195326140262901,0.9669176150010749,0.9606237083025243,111.63443000008566,111.83140586617537,False,False,True,False
case30,case30:duplicate_generator_n1:f0.02,IEEE_pandapower,4a3a92e7f259a5486e58738ebb941c2bca6f05f9540a2a5e33d7d30ff8986e82,30,41,2,3.784,0.02,True,False,0.0,0.0,True,True,,,0.016861710893332327,9.417568994297364,0.9669214057481851,0.9606237083025243,111.63135805436895,111.83140586617537,False,False,True,False
