case,scenario,converged_original,converged_split,max_vm_delta_pu,max_line_loading_delta_percent,split_load_bus
case14,0,True,True,0.0,0.0,1
case14,1,True,True,0.0,0.0,1
case14,2,True,True,0.0,0.0,1
case14,3,True,True,0.0,0.0,1
case14,4,True,True,0.0,0.0,1
case14,5,True,True,0.0,0.0,1
case14,6,True,True,0.0,0.0,1
case14,7,True,True,0.0,0.0,1
case14,8,True,True,0.0,0.0,1
case14,9,True,True,0.0,0.0,1
case14,10,True,True,0.0,0.0,1
case14,11,True,True,0.0,0.0,1
case14,12,True,True,0.0,0.0,1
case14,13,True,True,0.0,0.0,1
case14,14,True,True,0.0,0.0,1
case14,15,True,True,0.0,0.0,1
case14,16,True,True,0.0,0.0,1
case14,17,True,True,0.0,0.0,1
case14,18,True,True,0.0,0.0,1
case14,19,True,True,0.0,0.0,1
case14,20,True,True,0.0,0.0,1
case14,21,True,True,0.0,0.0,1
case14,22,True,True,0.0,0.0,1
case14,23,True,True,0.0,0.0,1
case14,24,True,True,0.0,0.0,1
case14,25,True,True,0.0,0.0,1
case14,26,True,True,0.0,0.0,1
case14,27,True,True,0.0,0.0,1
case14,28,True,True,0.0,0.0,1
case14,29,True,True,0.0,0.0,1
case30,0,True,True,0.0,0.0,1
case30,1,True,True,0.0,0.0,1
case30,2,True,True,0.0,0.0,1
case30,3,True,True,0.0,0.0,1
case30,4,True,True,0.0,0.0,1
case30,5,True,True,0.0,0.0,1
case30,6,True,True,0.0,0.0,1
case30,7,True,True,0.0,0.0,1
case30,8,True,True,0.0,0.0,1
case30,9,True,True,0.0,0.0,1
case30,10,True,True,0.0,0.0,1
case30,11,True,True,0.0,0.0,1
case30,12,True,True,0.0,0.0,1
case30,13,True,True,0.0,0.0,1
case30,14,True,True,0.0,0.0,1
case30,15,True,True,0.0,0.0,1
case30,16,True,True,0.0,0.0,1
case30,17,True,True,0.0,0.0,1
case30,18,True,True,0.0,0.0,1
case30,19,True,True,0.0,0.0,1
case30,20,True,True,0.0,0.0,1
case30,21,True,True,0.0,0.0,1
case30,22,True,True,0.0,0.0,1
case30,23,True,True,0.0,0.0,1
case30,24,True,True,0.0,0.0,1
case30,25,True,True,0.0,0.0,1
case30,26,True,True,0.0,0.0,1
case30,27,True,True,0.0,0.0,1
case30,28,True,True,0.0,0.0,1
case30,29,True,True,0.0,0.0,1
case57,0,True,True,0.0,0.0,0
case57,1,True,True,0.0,0.0,0
case57,2,True,True,0.0,0.0,0
case57,3,True,True,0.0,0.0,0
case57,4,True,True,0.0,0.0,0
case57,5,True,True,0.0,0.0,0
case57,6,True,True,0.0,0.0,0
case57,7,True,True,0.0,0.0,0
case57,8,True,True,0.0,0.0,0
case57,9,True,True,0.0,0.0,0
case57,10,True,True,0.0,0.0,0
case57,11,True,True,0.0,0.0,0
case57,12,True,True,0.0,0.0,0
case57,13,True,True,0.0,0.0,0
case57,14,True,True,0.0,0.0,0
case57,15,True,True,0.0,0.0,0
case57,16,True,True,0.0,0.0,0
case57,17,True,True,0.0,0.0,0
case57,18,True,True,0.0,0.0,0
case57,19,True,True,0.0,0.0,0
case57,20,True,True,0.0,0.0,0
case57,21,True,True,0.0,0.0,0
case57,22,True,True,0.0,0.0,0
case57,23,True,True,0.0,0.0,0
case57,24,True,True,0.0,0.0,0
case57,25,True,True,0.0,0.0,0
case57,26,True,True,0.0,0.0,0
case57,27,True,True,0.0,0.0,0
case57,28,True,True,0.0,0.0,0
case57,29,True,True,0.0,0.0,0
