scenario_id,case,seed,n_bus,n_load,load_min,converged,min_vm_pu,max_line_loading_percent,pf_error,lawful_split_decision,lawful_split_reason,feature_only_merge_decision,feature_only_merge_reason,numeric_merge_conservation_error
public-case14-0000,case14,20260801,14,11,263.34944153055363,True,1.0099999999999993,1.5261032628271565,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0001,case14,20260802,14,11,257.02354582917906,True,1.0099999999999998,1.4897659948072424,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0002,case14,20260803,14,11,258.79034187023785,True,1.01,1.5067766716677389,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0003,case14,20260804,14,11,250.48348626429697,True,1.01,1.4272581857772426,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0004,case14,20260805,14,11,274.54300280187994,True,1.01,1.6251413662423955,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0005,case14,20260806,14,11,248.66430106015656,True,1.01,1.4297394433268698,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0006,case14,20260807,14,11,243.0279674145438,True,1.01,1.3787179633269677,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0007,case14,20260808,14,11,272.89601827436996,True,1.0099999999999998,1.6145892329336726,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0008,case14,20260809,14,11,257.6167435953629,True,1.01,1.49493286095603,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0009,case14,20260810,14,11,273.3594307183619,True,1.01,1.616994316759417,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0010,case14,20260811,14,11,260.2495796593523,True,1.01,1.5059255301845609,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0011,case14,20260812,14,11,260.61796151424295,True,1.0099999999999998,1.5326354808374378,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0012,case14,20260813,14,11,246.51274742738062,True,1.0099999999999998,1.4175101029356671,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0013,case14,20260814,14,11,253.51201077935897,True,1.01,1.456482783593302,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0014,case14,20260815,14,11,267.92873963585595,True,1.01,1.5789677882836268,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0015,case14,20260816,14,11,273.10057406136247,True,1.01,1.6171923369470793,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0016,case14,20260817,14,11,274.9181444299646,True,1.0100000000000002,1.6303566188408856,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0017,case14,20260818,14,11,250.08507720429247,True,1.0099999999999998,1.4408715642312673,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0018,case14,20260819,14,11,261.4790168682135,True,1.0100000000000002,1.520665534823011,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0019,case14,20260820,14,11,233.90335242305582,True,1.01,1.3114348626675578,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0020,case14,20260821,14,11,271.4493866415272,True,1.01,1.605114072085598,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0021,case14,20260822,14,11,245.25811345630848,True,1.01,1.3988684510430476,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0022,case14,20260823,14,11,240.57373623429746,True,1.0099999999999998,1.3555401641213911,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0023,case14,20260824,14,11,247.38750444998144,True,1.01,1.4221154247686063,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0024,case14,20260825,14,11,256.4211124455505,True,1.0100000000000002,1.493299179406322,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0025,case14,20260826,14,11,252.26535941818636,True,1.0099999999999998,1.4514194354699463,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0026,case14,20260827,14,11,269.6093139913402,True,1.01,1.5887900266710022,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0027,case14,20260828,14,11,255.7697859349746,True,1.01,1.4839468719789837,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0028,case14,20260829,14,11,260.0935382513358,True,1.01,1.5146847710756628,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0029,case14,20260830,14,11,252.33543216210603,True,1.01,1.4547936942421216,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0030,case14,20260831,14,11,276.6667898938241,True,1.0099999999999998,1.637217005664414,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0031,case14,20260832,14,11,254.07337600112203,True,1.01,1.4745285995384705,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0032,case14,20260833,14,11,265.7110612076978,True,1.01,1.5731786769332206,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0033,case14,20260834,14,11,238.3486634225999,True,1.01,1.3476113070057756,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0034,case14,20260835,14,11,259.7962856653197,True,1.0099999999999998,1.5179711956271178,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0035,case14,20260836,14,11,279.774808613695,True,1.0099999999999998,1.6754898015231594,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0036,case14,20260837,14,11,269.67284381132316,True,1.01,1.5937626235347349,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
public-case14-0037,case14,20260838,14,11,267.8608719147413,True,1.01,1.5767892117869664,,ACCEPT,,REJECT_INCONSISTENT,identity_equivalence_unproven,0.0
